1210000000500023,ASIAN HOTELS (NORTH) LIMITED,50,1,0.05,INE363A01022,0915-1530|1815-1915:,2025-11-10,,BSE:ASIANHOTNR-B,12,10,500023,ASIANHOTNR,500023,-1.0,XX,1210000000500023,None,0,0.0
1210000000500027,ATUL LTD.,0,1,0.05,INE100A01010,0915-1530|1815-1915:,2025-11-10,,BSE:ATUL-A,12,10,500027,ATUL,500027,-1.0,XX,1210000000500027,None,0,0.0
1210000000500028,ATV PROJECTS INDIA LTD.,50,1,0.01,INE447A01015,0915-1530|1815-1915:,2025-11-10,,BSE:ATVPR-X,12,10,500028,ATVPR,500028,-1.0,XX,1210000000500028,None,0,0.0
1210000000500031,BAJAJ ELECTRICALS LTD.,0,1,0.05,INE193E01025,0915-1530|1815-1915:,2025-11-10,,BSE:BAJAJELEC-A,12,10,500031,BAJAJELEC,500031,-1.0,XX,1210000000500031,None,0,0.0
1210000000500032,BAJAJ HINDUSTHAN SUGAR LIMITED,0,1,0.01,INE306A01021,0915-1530|1815-1915:,2025-11-10,,BSE:BAJAJHIND-A,12,10,500032,BAJAJHIND,500032,-1.0,XX,1210000000500032,None,0,0.0
1210000000500033,FORCE MOTORS LTD.,0,1,0.05,INE451A01017,0915-1530|1815-1915:,2025-11-10,,BSE:FORCEMOT-A,12,10,500033,FORCEMOT,500033,-1.0,XX,1210000000500033,None,0,0.0
1210000000500034,BAJAJ FINANCE LIMITED,0,1,0.05,INE296A01032,0915-1530|1815-1915:,2025-11-10,,BSE:BAJFINANCE-A,12,10,500034,BAJFINANCE,500034,-1.0,XX,1210000000500034,None,0,0.0
1210000000500038,BALRAMPUR CHINI MILLS LTD.,0,1,0.05,INE119A01028,0915-1530|1815-1915:,2025-11-10,,BSE:BALRAMCHIN-A,12,10,500038,BALRAMCHIN,500038,-1.0,XX,1210000000500038,None,0,0.0
1210000000500039,BANCO PRODUCTS (INDIA) LTD.,0,1,0.05,INE213C01025,0915-1530|1815-1915:,2025-11-10,,BSE:BANCOINDIA-A,12,10,500039,BANCOINDIA,500039,-1.0,XX,1210000000500039,None,0,0.0
1210000000500040,ADITYA BIRLA REAL ESTATE LIMIT,0,1,0.05,INE055A01016,0915-1530|1815-1915:,2025-11-10,,BSE:ABREL-A,12,10,500040,ABREL,500040,-1.0,XX,1210000000500040,None,0,0.0
1210000000500041,BANNARI AMMAN SUGARS LTD.,50,1,0.05,INE459A01010,0915-1530|1815-1915:,2025-11-10,,BSE:BANARISUG-B,12,10,500041,BANARISUG,500041,-1.0,XX,1210000000500041,None,0,0.0
1210000000500042,BASF INDIA LTD.,0,1,0.05,INE373A01013,0915-1530|1815-1915:,2025-11-10,,BSE:BASF-A,12,10,500042,BASF,500042,-1.0,XX,1210000000500042,None,0,0.0
1210000000500043,BATA INDIA LTD.,0,1,0.05,INE176A01028,0915-1530|1815-1915:,2025-11-10,,BSE:BATAINDIA-A,12,10,500043,BATAINDIA,500043,-1.0,XX,1210000000500043,None,0,0.0
1210000000500048,BEML LTD.,0,1,0.05,INE258A01024,0915-1530|1815-1915:,2025-11-10,,BSE:BEML-A,12,10,500048,BEML,500048,-1.0,XX,1210000000500048,None,0,0.0
1210000000500049,BHARAT ELECTRONICS LTD.,0,1,0.05,INE263A01024,0915-1530|1815-1915:,2025-11-10,,BSE:BEL-A,12,10,500049,BEL,500049,-1.0,XX,1210000000500049,None,0,0.0
